"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @deFactoCPM: Boost your machine learning analytics results with external data https://t.co/G6mxBckpJy #AI #BI #bigdata #IoT #cloud #azur…",FALSE,0,NA,2019-04-16 23:57:09,FALSE,NA,"1118302340229079040",NA,"<a href=""https://thechrischua.com"" rel=""nofollow"">DS-retweet</a>","theChrisChua",2,TRUE,FALSE,NA,NA
"2","RT @deFactoCPM: Boost your machine learning analytics results with external data https://t.co/G6mxBckpJy #AI #BI #bigdata #IoT #cloud #azur…",FALSE,0,NA,2019-04-16 23:56:33,FALSE,NA,"1118302189603024896",NA,"<a href=""http://web2news.com"" rel=""nofollow"">Machine Learning Digest</a>","machinelearn_d",2,TRUE,FALSE,NA,NA
"3","RT @jipadilla: https://t.co/ZDAMcv4K2p @orcas_analytics",FALSE,0,NA,2019-04-16 23:54:43,FALSE,NA,"1118301727466381313",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jvalenciacal",1,TRUE,FALSE,NA,NA
"4","RT @EnricoCoiera: ""Technological progress, including machine learning, data analytics and artificial intelligence, has altered the potentia…",FALSE,0,NA,2019-04-16 23:54:36,FALSE,NA,"1118301698722680832",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","vonaurum",15,TRUE,FALSE,NA,NA
"5","Donald Clark Plan B: Why ‘learning analytics’? Why ‘Learning Record Stores’? https://t.co/ePlHcH3l15",FALSE,0,NA,2019-04-16 23:50:05,FALSE,NA,"1118300563190571008",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","mixmaxmin",0,FALSE,FALSE,NA,NA
"6","RT @AnalytiikkaAly: Why Personalized Learning Should Be Centerstage At The World Economic Forum #analytiikkaäly #learning_analytics https:/…",FALSE,0,NA,2019-04-16 23:49:06,FALSE,NA,"1118300314963259393",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mirjahannula",1,TRUE,FALSE,NA,NA
"7","#EasterSale #Discount | $11.99 Offer | Ends On 4.22.2019 | Best Machine Learning Courses

https://t.co/TdIsb5sdjm… https://t.co/y5O1fWQ0rw",FALSE,2,NA,2019-04-16 23:45:25,TRUE,NA,"1118299388227596288",NA,"<a href=""https://panel.socialpilot.co/"" rel=""nofollow"">SocialPilot.co</a>","wpacademypro",1,FALSE,FALSE,NA,NA
"8","RT @tsystemscom: There's a whole world of unexplored data out there – adding external data sources to your #Analytics and #MachineLearning…",FALSE,0,NA,2019-04-16 23:40:18,FALSE,NA,"1118298100152655877",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ITPeopleDACH",6,TRUE,FALSE,NA,NA
"9","RT @bittsanalytics: #tether social sentiment in last period. sentiment obtained with machine learning from social posts texts about $usdt.…",FALSE,0,NA,2019-04-16 23:38:19,FALSE,NA,"1118297601793638401",NA,"<a href=""http://www.yahoo.com"" rel=""nofollow"">twitter-big-data</a>","michaellgraves",1,TRUE,FALSE,NA,NA
"10","RT @theaiuniverse: Glad to see overwhelming response on Machine &amp; Deep Learning Bootcamp. Here is the second video in the list. Pls subscri…",FALSE,0,NA,2019-04-16 23:35:42,FALSE,NA,"1118296939823550464",NA,"<a href=""https://santchi.co.uk"" rel=""nofollow"">Santchi App</a>","SantchiWeb",2,TRUE,FALSE,NA,NA
"11","#tether social sentiment in last period. sentiment obtained with machine learning from social posts texts about… https://t.co/udOUEjjIVR",FALSE,1,NA,2019-04-16 23:35:26,TRUE,NA,"1118296873763246083",NA,"<a href=""http://www.bittsanalytics.com/"" rel=""nofollow"">bittsanalytics</a>","bittsanalytics",1,FALSE,FALSE,NA,NA
"12","https://t.co/ZDAMcv4K2p @orcas_analytics",FALSE,1,NA,2019-04-16 23:35:22,FALSE,NA,"1118296856713486336",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jipadilla",1,FALSE,FALSE,NA,NA
"13","RT @theaiuniverse: Glad to see overwhelming response on Machine &amp; Deep Learning Bootcamp. Here is the second video in the list. Pls subscri…",FALSE,0,NA,2019-04-16 23:35:11,FALSE,NA,"1118296812169900032",NA,"<a href=""https://www.clocknews.com"" rel=""nofollow"">samab</a>","samab27286893",2,TRUE,FALSE,NA,NA
"14","Glad to see overwhelming response on Machine &amp; Deep Learning Bootcamp. Here is the second video in the list. Pls su… https://t.co/YyA5nxpX2Q",FALSE,1,NA,2019-04-16 23:33:45,TRUE,NA,"1118296450297942016",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","theaiuniverse",2,FALSE,FALSE,NA,NA
"15","RT @HpcMitch: Intersect360 Addison Snell Moderates AI Panel at ASF ‘19

IT environments use machine learning, analytics, and simulation wor…",FALSE,0,NA,2019-04-16 23:33:05,FALSE,NA,"1118296284773765120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JasonCutrer",4,TRUE,FALSE,NA,NA
"16","<f0><U+009F><U+0094><U+00A5> Hot off the press: “SF Data Weekly - Skype's Data Infrastructure, Spark Analytics for NASA, Machine Learning at W… https://t.co/v3WbO99r4e",FALSE,1,NA,2019-04-16 23:25:26,TRUE,NA,"1118294356883116038",NA,"<a href=""http://www.getrevue.co"" rel=""nofollow"">Revue</a>","l1rs",0,FALSE,FALSE,NA,NA
"17","RT @planetlabs: Planet’s Senior Director of Analytics Engineering, Gopal Erinjippurath, shared his thoughts on leveraging data, machine lea…",FALSE,0,NA,2019-04-16 23:21:21,FALSE,NA,"1118293329043529729",NA,"<a href=""http://janetter.net/"" rel=""nofollow"">Janetter iOS</a>","bamboo4031",7,TRUE,FALSE,NA,NA
"18","Thank you to Eric Martin for joining us to dedicate the @Transamerica Business Intelligence &amp; Analytics Lab at… https://t.co/EvX3wVpdwx",FALSE,18,NA,2019-04-16 22:58:16,TRUE,NA,"1118287520847077380",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","presidentatuni",2,FALSE,FALSE,NA,NA
